EPOCH(064%) LOSS: MLM=1.0279, CLS=0.0000 ELAPSED TIME: 75.8s
EPOCH(064%) LOSS: MLM=1.0206, CLS=0.0000 ELAPSED TIME: 75.8s
EPOCH(065%) LOSS: MLM=1.0230, CLS=0.0000 ELAPSED TIME: 76.0s
EPOCH(066%) LOSS: MLM=1.0163, CLS=0.0000 ELAPSED TIME: 75.7s
EPOCH(066%) LOSS: MLM=1.0138, CLS=0.0000 ELAPSED TIME: 76.6s
EPOCH(067%) LOSS: MLM=1.0050, CLS=0.0000 ELAPSED TIME: 75.3s
EPOCH(068%) LOSS: MLM=0.9979, CLS=0.0000 ELAPSED TIME: 76.6s
EPOCH(068%) LOSS: MLM=1.0012, CLS=0.0000 ELAPSED TIME: 76.2s
EPOCH(069%) LOSS: MLM=1.0010, CLS=0.0000 ELAPSED TIME: 76.1s
EPOCH(070%) LOSS: MLM=0.9981, CLS=0.0000 ELAPSED TIME: 75.6s
EPOCH(070%) LOSS: MLM=0.9750, CLS=0.0000 ELAPSED TIME: 76.7s
EPOCH(071%) LOSS: MLM=0.9882, CLS=0.0000 ELAPSED TIME: 77.2s
EPOCH(072%) LOSS: MLM=0.9867, CLS=0.0000 ELAPSED TIME: 75.9s
EPOCH(072%) LOSS: MLM=0.9636, CLS=0.0000 ELAPSED TIME: 75.3s
EPOCH(073%) LOSS: MLM=0.9744, CLS=0.0000 ELAPSED TIME: 75.2s
EPOCH(074%) LOSS: MLM=0.9642, CLS=0.0000 ELAPSED TIME: 75.1s
EPOCH(074%) LOSS: MLM=0.9598, CLS=0.0000 ELAPSED TIME: 75.6s
EPOCH(075%) LOSS: MLM=0.9538, CLS=0.0000 ELAPSED TIME: 76.8s
EPOCH(076%) LOSS: MLM=0.9622, CLS=0.0000 ELAPSED TIME: 75.4s
EPOCH(076%) LOSS: MLM=0.9451, CLS=0.0000 ELAPSED TIME: 75.7s
EPOCH(077%) LOSS: MLM=0.9474, CLS=0.0000 ELAPSED TIME: 76.6s
EPOCH(078%) LOSS: MLM=0.9510, CLS=0.0000 ELAPSED TIME: 76.8s
EPOCH(078%) LOSS: MLM=0.9530, CLS=0.0000 ELAPSED TIME: 75.5s
EPOCH(079%) LOSS: MLM=0.9300, CLS=0.0000 ELAPSED TIME: 76.4s
EPOCH(080%) LOSS: MLM=0.9358, CLS=0.0000 ELAPSED TIME: 75.8s
EPOCH(080%) LOSS: MLM=0.9282, CLS=0.0000 ELAPSED TIME: 76.1s
EPOCH(081%) LOSS: MLM=0.9205, CLS=0.0000 ELAPSED TIME: 75.4s
EPOCH(082%) LOSS: MLM=0.9259, CLS=0.0000 ELAPSED TIME: 77.2s
EPOCH(082%) LOSS: MLM=0.9080, CLS=0.0000 ELAPSED TIME: 75.5s
EPOCH(083%) LOSS: MLM=0.9147, CLS=0.0000 ELAPSED TIME: 75.8s
EPOCH(084%) LOSS: MLM=0.9245, CLS=0.0000 ELAPSED TIME: 76.3s
EPOCH(084%) LOSS: MLM=0.8979, CLS=0.0000 ELAPSED TIME: 76.3s
EPOCH(085%) LOSS: MLM=0.9029, CLS=0.0000 ELAPSED TIME: 76.5s
EPOCH(086%) LOSS: MLM=0.9010, CLS=0.0000 ELAPSED TIME: 76.9s
EPOCH(086%) LOSS: MLM=0.9046, CLS=0.0000 ELAPSED TIME: 75.4s
EPOCH(087%) LOSS: MLM=0.8950, CLS=0.0000 ELAPSED TIME: 76.6s
EPOCH(088%) LOSS: MLM=0.8844, CLS=0.0000 ELAPSED TIME: 75.5s
EPOCH(088%) LOSS: MLM=0.8835, CLS=0.0000 ELAPSED TIME: 75.2s
EPOCH(089%) LOSS: MLM=0.8819, CLS=0.0000 ELAPSED TIME: 77.1s
EPOCH(090%) LOSS: MLM=0.8838, CLS=0.0000 ELAPSED TIME: 76.4s
EPOCH(090%) LOSS: MLM=0.8789, CLS=0.0000 ELAPSED TIME: 76.1s
EPOCH(091%) LOSS: MLM=0.8763, CLS=0.0000 ELAPSED TIME: 76.4s
EPOCH(092%) LOSS: MLM=0.8751, CLS=0.0000 ELAPSED TIME: 76.6s
EPOCH(092%) LOSS: MLM=0.8729, CLS=0.0000 ELAPSED TIME: 75.4s
EPOCH(093%) LOSS: MLM=0.8834, CLS=0.0000 ELAPSED TIME: 75.0s
EPOCH(094%) LOSS: MLM=0.8701, CLS=0.0000 ELAPSED TIME: 75.3s
EPOCH(094%) LOSS: MLM=0.8616, CLS=0.0000 ELAPSED TIME: 76.6s
EPOCH(095%) LOSS: MLM=0.8525, CLS=0.0000 ELAPSED TIME: 75.3s
EPOCH(096%) LOSS: MLM=0.8553, CLS=0.0000 ELAPSED TIME: 75.4s
EPOCH(096%) LOSS: MLM=0.8507, CLS=0.0000 ELAPSED TIME: 76.1s
EPOCH(097%) LOSS: MLM=0.8497, CLS=0.0000 ELAPSED TIME: 76.4s
EPOCH(098%) LOSS: MLM=0.8462, CLS=0.0000 ELAPSED TIME: 77.1s
EPOCH(098%) LOSS: MLM=0.8454, CLS=0.0000 ELAPSED TIME: 75.8s
EPOCH(099%) LOSS: MLM=0.8443, CLS=0.0000 ELAPSED TIME: 76.8s
EPOCH(100%) LOSS: MLM=0.8369, CLS=0.0000 ELAPSED TIME: 76.4s
