EPOCH(058%) LOSS: MLM=1.4938, CLS=0.0215 ELAPSED TIME: 33.7s
EPOCH(059%) LOSS: MLM=1.4950, CLS=0.0315 ELAPSED TIME: 33.7s
EPOCH(060%) LOSS: MLM=1.4749, CLS=0.0193 ELAPSED TIME: 33.8s
EPOCH(060%) LOSS: MLM=1.4421, CLS=0.0381 ELAPSED TIME: 33.9s
EPOCH(061%) LOSS: MLM=1.4493, CLS=0.0293 ELAPSED TIME: 33.9s
EPOCH(062%) LOSS: MLM=1.4613, CLS=0.0250 ELAPSED TIME: 33.9s
EPOCH(062%) LOSS: MLM=1.4413, CLS=0.0296 ELAPSED TIME: 33.6s
EPOCH(063%) LOSS: MLM=1.4704, CLS=0.0253 ELAPSED TIME: 33.8s
EPOCH(064%) LOSS: MLM=1.4414, CLS=0.0319 ELAPSED TIME: 33.9s
EPOCH(064%) LOSS: MLM=1.4424, CLS=0.0244 ELAPSED TIME: 33.9s
EPOCH(065%) LOSS: MLM=1.4651, CLS=0.0309 ELAPSED TIME: 33.6s
EPOCH(066%) LOSS: MLM=1.4246, CLS=0.0203 ELAPSED TIME: 33.9s
EPOCH(066%) LOSS: MLM=1.4272, CLS=0.0216 ELAPSED TIME: 34.1s
EPOCH(067%) LOSS: MLM=1.4508, CLS=0.0236 ELAPSED TIME: 33.9s
EPOCH(068%) LOSS: MLM=1.3961, CLS=0.0267 ELAPSED TIME: 33.5s
EPOCH(068%) LOSS: MLM=1.3661, CLS=0.0252 ELAPSED TIME: 33.9s
EPOCH(069%) LOSS: MLM=1.3666, CLS=0.0218 ELAPSED TIME: 33.7s
EPOCH(070%) LOSS: MLM=1.3771, CLS=0.0260 ELAPSED TIME: 33.5s
EPOCH(070%) LOSS: MLM=1.3739, CLS=0.0366 ELAPSED TIME: 33.7s
EPOCH(071%) LOSS: MLM=1.3634, CLS=0.0302 ELAPSED TIME: 34.2s
EPOCH(072%) LOSS: MLM=1.3655, CLS=0.0264 ELAPSED TIME: 33.6s
EPOCH(072%) LOSS: MLM=1.3715, CLS=0.0252 ELAPSED TIME: 34.1s
EPOCH(073%) LOSS: MLM=1.3505, CLS=0.0326 ELAPSED TIME: 34.0s
EPOCH(074%) LOSS: MLM=1.3411, CLS=0.0279 ELAPSED TIME: 34.2s
EPOCH(074%) LOSS: MLM=1.3921, CLS=0.0213 ELAPSED TIME: 33.8s
EPOCH(075%) LOSS: MLM=1.3414, CLS=0.0256 ELAPSED TIME: 34.0s
EPOCH(076%) LOSS: MLM=1.3151, CLS=0.0328 ELAPSED TIME: 33.8s
EPOCH(076%) LOSS: MLM=1.3206, CLS=0.0205 ELAPSED TIME: 33.8s
EPOCH(077%) LOSS: MLM=1.3663, CLS=0.0259 ELAPSED TIME: 33.9s
EPOCH(078%) LOSS: MLM=1.2963, CLS=0.0306 ELAPSED TIME: 34.2s
EPOCH(078%) LOSS: MLM=1.3041, CLS=0.0372 ELAPSED TIME: 33.8s
EPOCH(079%) LOSS: MLM=1.2945, CLS=0.0248 ELAPSED TIME: 34.2s
EPOCH(080%) LOSS: MLM=1.3063, CLS=0.0427 ELAPSED TIME: 34.0s
EPOCH(080%) LOSS: MLM=1.3176, CLS=0.0221 ELAPSED TIME: 34.0s
EPOCH(081%) LOSS: MLM=1.3137, CLS=0.0268 ELAPSED TIME: 33.8s
EPOCH(082%) LOSS: MLM=1.2661, CLS=0.0249 ELAPSED TIME: 34.1s
EPOCH(082%) LOSS: MLM=1.3055, CLS=0.0303 ELAPSED TIME: 33.9s
EPOCH(083%) LOSS: MLM=1.2984, CLS=0.0254 ELAPSED TIME: 34.0s
EPOCH(084%) LOSS: MLM=1.2884, CLS=0.0224 ELAPSED TIME: 34.0s
EPOCH(084%) LOSS: MLM=1.2488, CLS=0.0273 ELAPSED TIME: 33.9s
EPOCH(085%) LOSS: MLM=1.2708, CLS=0.0380 ELAPSED TIME: 33.8s
EPOCH(086%) LOSS: MLM=1.2836, CLS=0.0261 ELAPSED TIME: 33.7s
EPOCH(086%) LOSS: MLM=1.2521, CLS=0.0285 ELAPSED TIME: 34.2s
