EPOCH(086%) LOSS: MLM=0.9731, CLS=0.0000 ELAPSED TIME: 35.2s
EPOCH(087%) LOSS: MLM=0.9715, CLS=0.0000 ELAPSED TIME: 35.8s
EPOCH(088%) LOSS: MLM=0.9614, CLS=0.0000 ELAPSED TIME: 34.8s
EPOCH(088%) LOSS: MLM=0.9737, CLS=0.0000 ELAPSED TIME: 34.9s
EPOCH(089%) LOSS: MLM=0.9710, CLS=0.0000 ELAPSED TIME: 35.0s
EPOCH(090%) LOSS: MLM=0.9603, CLS=0.0000 ELAPSED TIME: 35.2s
EPOCH(090%) LOSS: MLM=0.9667, CLS=0.0000 ELAPSED TIME: 35.7s
EPOCH(091%) LOSS: MLM=0.9478, CLS=0.0000 ELAPSED TIME: 35.1s
EPOCH(092%) LOSS: MLM=0.9495, CLS=0.0000 ELAPSED TIME: 35.4s
EPOCH(092%) LOSS: MLM=0.9571, CLS=0.0000 ELAPSED TIME: 35.8s
EPOCH(093%) LOSS: MLM=0.9300, CLS=0.0000 ELAPSED TIME: 34.7s
EPOCH(094%) LOSS: MLM=0.9537, CLS=0.0000 ELAPSED TIME: 34.6s
EPOCH(094%) LOSS: MLM=0.9277, CLS=0.0000 ELAPSED TIME: 35.2s
EPOCH(095%) LOSS: MLM=0.9409, CLS=0.0000 ELAPSED TIME: 35.5s
EPOCH(096%) LOSS: MLM=0.9266, CLS=0.0000 ELAPSED TIME: 34.8s
EPOCH(096%) LOSS: MLM=0.9236, CLS=0.0000 ELAPSED TIME: 35.0s
EPOCH(097%) LOSS: MLM=0.9345, CLS=0.0000 ELAPSED TIME: 34.8s
EPOCH(098%) LOSS: MLM=0.9313, CLS=0.0000 ELAPSED TIME: 34.6s
EPOCH(098%) LOSS: MLM=0.9212, CLS=0.0000 ELAPSED TIME: 36.4s
EPOCH(099%) LOSS: MLM=0.8929, CLS=0.0000 ELAPSED TIME: 35.2s
EPOCH(100%) LOSS: MLM=0.9310, CLS=0.0000 ELAPSED TIME: 34.3s
